Price	Open	High	Low
58.05	58.3	58.3	58
58	58.4	58.4	57.8
58	57.85	58.35	57.6
57.95	57.8	58	57.3
57.85	57.8	57.85	55.25
57.85	57.9	58	57
57	58.5	58.5	56.1
58.5	56.7	58.5	56.7
56.7	57.45	57.45	55.1
58	57.95	58	57
58	57.55	58	57.55
58.1	58.1	58.2	57.8
58.1	57.1	58.85	57.1
57.8	58	58.15	57.5
58	58.3	58.8	57.95
58.05	56.85	58.05	56.85
57.5	58.2	58.45	56.85
58	57.5	58.15	57.5
57.1	57.5	59.2	57.1
57.05	57.05	57.3	56.55
57	56.9	57	55.6
56.9	56.95	56.95	55.05
56.95	56.4	56.95	55.55
56.4	56.95	56.95	55.55
55.75	55.9	56.35	55.5
56	56.95	56.95	56
57.1	57.65	58	57
57.7	57.4	58.4	57
57.4	57	58.5	56.8
57	57.9	58.2	56.1
58.3	58.8	58.8	57.8
58.6	58.6	58.6	57.5
58.6	58.5	59	58
58.5	59	59	58
59	58.1	59	58
58.1	58	58.2	57.3
58	57.1	58.5	57.1
57	58.2	58.2	57
58	56.85	58	56.8
56.85	57.95	58.05	56
58	57.05	58	57
58	57.95	58	57.7
57.95	57.8	58	57.7
57.5	57.8	57.8	57
57.9	56.8	57.9	56.1
56.8	57.35	57.4	56.8
57.35	57.65	57.65	57.05
57.1	57.6	57.6	57
57.8	58	58	57.1
57.9	57.9	57.9	57.05
57.9	58	58	56.4
57.9	57	58	57
57.1	58	58	56.8
58	58	58.05	57.5
57.5	58	58	56.5
58	57.9	58	57.6
57.55	57.9	57.9	56
57.8	56.6	58.5	56.6
56.6	56.7	56.85	56.45
56.85	56.75	57.9	56.5
56.55	56.2	56.7	56.2
56	55.75	56.35	55.75
55.75	55.45	55.75	55.35
55.45	55.1	55.5	55.1
55	55	55.2	54.85
55	55	55.2	54.9
54.4	54.4	54.6	54
54.4	54.65	54.95	53.8
54.95	54.4	55	54.4
54.4	54.3	54.45	54.2
54.2	54.2	54.2	53.2
54.2	54.15	54.25	54.15
54	53.05	54.1	53.05
53.55	53	53.7	52.65
53.75	53.65	53.75	52.4
53.65	53.7	53.7	53.45
52.7	52.4	53.85	52.4
52.2	52.2	52.4	52
51.7	51.7	52.45	51.7
52.05	51.5	53.1	51
51.5	49.2	51.5	48.1
48.9	51.3	51.35	48.9
51.3	51.45	52.4	51.3
53	51.5	53	51
52.8	51.5	52.8	51.5
51.65	51.5	52.5	51.25
52.9	51.5	52.95	51.5
52.05	52.5	52.8	51.7
51.7	52.25	52.45	51.4
52	53.8	53.8	52
53.8	53.7	53.9	53.35
53.7	53.2	53.8	52.05
53	52	53.05	51.8
52.5	52.35	52.5	51.55
52.45	51.8	53	51.8
52.55	52.5	52.75	52.4
52.5	53.1	53.1	52.5
53.05	53.2	53.2	53
53.2	52.5	53.2	52.4
52.7	52.8	52.8	52.2
52.25	52.7	52.75	52
52.7	51	52.7	51
51.6	51.9	51.9	50.7
51	51.9	52	51
51.9	52	52.3	51.8
52	51.5	52	51.3
51.8	50.6	51.95	50.6
50.55	52.5	52.5	50.55
52	52.05	52.5	52
52.05	52.1	52.1	51.95
52.1	52.2	52.2	52
52	53.35	53.35	52
52.75	52.95	53.3	52.4
52	52.4	52.4	51.8
52.5	50.8	52.5	50.8
50.85	49.85	50.95	49.85
50.35	50.5	51	49.5
50.5	49.6	50.5	49.5
49.6	50.15	50.9	49.5
50.15	50.95	50.95	49.8
51.2	49.65	51.2	49.65
49.5	49.5	49.7	49.05
49.5	51	51	49.5
49.45	51.65	51.65	49.45
51	49.3	51.5	49.3
49.05	49.75	50	49.05
49.5	50.4	50.6	49.5
50.6	52.2	53.3	50.6
53.2	53	53.2	52.3
53	53.1	53.1	53
52.9	53.1	53.2	52.6
53.5	53.15	53.7	53.15
53.15	52.2	53.45	52.2
52.95	52.75	52.95	52.4
53.8	53.9	54.8	52.9
53.9	54.15	54.95	53.9
55	54.5	55	54
54.5	55	55.8	54.4
55	55.9	55.95	55
55.1	55	55.55	55
55.15	55.1	55.6	55.1
55.6	55.7	55.7	55.1
55.7	55.5	55.7	55.5
55.3	55.8	56.8	55.3
55.5	55.75	55.75	55.25
55.55	56	56	55.3
55.55	55.75	55.75	55.5
55.5	56	56	55.5
55.5	55.5	55.7	55.3
55.6	55.45	55.75	55.3
55.45	56.05	56.05	55.35
55.5	55.8	55.8	55.25
55.8	56.2	56.2	55.65
55.95	56	56.2	55.25
55.9	55.1	56.2	55.1
55	54.9	56	54.75
54.75	56	56	54.55
56	56	56.8	55.95
56.4	55.9	56.4	55.9
55.9	56.4	56.4	55.3
56.4	56.25	56.4	55.65
55.9	56.25	56.25	55.75
55.7	55.5	56	55.5
56	55.95	56.8	55.95
55.85	56.3	56.3	55.4
56.3	56.75	56.75	55.3
56.4	56.55	56.8	55.7
56.7	56.55	56.8	56.55
56.8	56.35	56.85	56.35
56.35	56.5	56.8	55.65
56.5	55.9	56.9	55.9
55.95	55.95	56.15	55.5
56.15	56.2	56.25	55.95
56.2	55	56.45	55
55.95	55.6	55.95	54.15
55.15	55.9	56	54.55
55.95	55.9	56	54.8
55.9	55.5	56	55.5
55.95	55.9	56	55.6
55.9	55.95	56	55.9
55.95	56	56	55.9
56	55.95	56	54.6
55.8	56	56	55.5
55.75	55.85	56	55.65
55.9	54.7	55.9	54.7
54.7	55.95	55.95	54.4
55.5	55.5	55.9	54.7
55.5	55.05	55.5	55
55.05	55	55.7	54.75
54.5	56	56	54.5
55.75	56.15	56.85	55.75
56.8	56.9	56.9	56.8
56.9	56.3	56.95	56.3
56.9	56.6	56.9	56.6
56.5	56.45	56.5	56
56.45	55.95	56.45	55.75
56	56.05	56.05	55.5
56.05	56.4	56.4	55.2
56.4	55.95	56.4	55.85
55.55	55.5	55.95	55.5
55.5	55.2	55.95	55.2
55.15	56.6	56.6	54.7
56.4	55.55	56.9	54.5
55.8	56	56	54.1
56	54.8	56	54.6
54.8	54.95	55	53.9
54.95	56.8	56.8	54.8
55.85	56	56.9	55.5
56.7	56.4	57	55
56.15	55.9	56.3	54.8
55.9	55.2	56	55.15
55.2	55.2	56	54.9
55.2	55.5	55.5	54.5
55.2	56.65	56.65	55.2
56.2	55.4	56.2	55.2
55.2	55.2	55.2	54.5
54.2	55.8	55.85	54.2
56.5	56.8	56.8	56
56.8	57	57	56.05
57	56.65	57	56.2
56.65	56.7	57	56.3
56.7	57	57	56.3
56.95	56.1	56.95	56.1
56.1	57	57	56.05
57	57.05	57.05	56.95
57	57	57.2	56.1
57	57	58.2	56.2
57	56.9	57	56.6
56.9	56.95	57.05	56.6
56.75	56.9	57	56.5
56.5	56.5	56.6	56.1
56.5	56.4	56.7	56.4
56.05	56.45	56.5	56.05
56.55	56.55	56.6	56.15
56.55	56.55	56.7	56.5
56.55	56.6	56.6	56.55
56.6	56.6	56.6	56.5
56.6	56.6	56.65	56.5
56.6	56.3	56.8	56.3
56.3	57.1	57.1	56.3
57.1	58.5	59	57.1
59	58.3	59.05	58.05
58.3	58.95	59.15	58.1
58.2	58.05	59.05	58.05
58.05	58.1	58.45	57.9
57.9	58	58.2	57.85
58.05	57.95	58.3	57.5
57.5	57.45	57.55	57.2
57.35	57.5	57.55	57.1
57.35	57.45	57.9	57.15
57.3	57.2	57.85	57
57.2	56.45	57.2	56.1
56.1	57.9	57.9	56.1
57.3	57	57.95	56.75
56.95	56.95	57.1	56.8
56.9	56	56.9	55.95
56	55.55	56.5	55.55
55.5	54.6	56.1	54.6
55.2	55.55	56.4	54.9
56	55.9	56.4	55.5
55.95	56.4	56.4	55.6
56.95	56.4	57.4	56.2
55.55	58.85	58.85	55.5
58.4	58	59	58
60.2	60.25	60.95	59.1
